STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
Vermont,1997,101584.0,1022546,37631,232557,752358,1069297,461439,229220,25761.0,96165
Virginia,1997,1096279.0,7345090,356767,2938616,4049707,7436340,3852814,2154066,383787.0,831898
Washington,1997,974504.0,6667626,388123,4443435,1836068,6792261,3356299,1986859,293323.0,897137
West Virginia,1997,303441.0,2053981,170220,1286247,597514,2018185,1131889,586187,140495.0,144209
Wisconsin,1997,879021.0,6724752,288586,3681682,2754484,6990489,3747953,1988121,226505.0,761190
Wyoming,1997,98777.0,660079,43171,320566,296342,695127,362705,206739,23104.0,84230
Alabama,1998,739321.0,4140537,374153,2589819,1176565,4245033,2218693,1155492,357731.0,458351
Alaska,1998,130633.0,1206195,157335,745814,303046,1222893,680848,376448,42456.0,104903
Arizona,1998,794331.0,4675296,470398,2000801,2204097,4726098,2091741,1315931,279785.0,759108
Arkansas,1998,456355.0,2567380,226475,1505419,835486,2536027,1367612,731619,170279.0,192590
California,1998,5727224.0,39183018,3149260,22840500,13193258,38087666,20083913,10939061,1862674.0,4335730
Colorado,1998,686360.0,4359021,215071,1879850,2264100,4739136,2253623,1470619,158788.0,622534
Connecticut,1998,515141.0,5024673,189689,1828216,3006768,4810851,2844608,1444460,162325.0,144785
Delaware,1998,111428.0,934530,59955,594617,279958,915207,511618,275898,41035.0,61153
District of Columbia,1998,77111.0,706938,116366,0,590572,716740,283484,339972,33393.0,59891
Florida,1998,2292161.0,15595671,1116607,7742607,6736457,15155383,7160434,4604765,1073030.0,1949539
Georgia,1998,1375980.0,9207163,594406,4737025,3875732,8990897,4822729,2477958,488371.0,1023011
Hawaii,1998,189887.0,1279125,107149,1141001,30975,1266378,712023,328519,104350.0,121486
Idaho,1998,244403.0,1310960,90011,822017,398932,1342719,714369,377484,53790.0,165324
Illinois,1998,1972406.0,14688777,962367,4807076,8919334,15207067,7391186,4544061,637882.0,1917001
Indiana,1998,985690.0,7656749,343921,3770236,3542592,7649103,3745167,2089790,352606.0,766633
Iowa,1998,501054.0,3589705,168098,1715712,1705895,3650286,1827658,1022484,145224.0,325840
Kansas,1998,468980.0,3207670,188910,1868123,1150637,3087318,1536690,1013241,193699.0,188870
Kentucky,1998,645232.0,3938009,367810,2411836,1158363,4018512,2116458,1179822,241709.0,400122
Louisiana,1998,774561.0,4443468,498082,2266287,1679099,4379797,2387847,1265136,322067.0,310116
Maine,1998,212038.0,1611926,82445,696430,833051,1601411,949523,422020,60837.0,83017
Maryland,1998,830744.0,6521269,325321,2514101,3681847,6519389,3584678,1902782,302974.0,558202
Massachusetts,1998,942331.0,7726497,366880,3183950,4175667,8098720,4849603,2173146,255100.0,469395
Michigan,1998,1680559.0,14712250,866216,9474264,4371770,14905765,6895840,4546053,663827.0,1723267
Minnesota,1998,841723.0,6672384,313550,3363505,2995329,6815289,3384437,1721705,452482.0,781250
Mississippi,1998,504792.0,2400660,322350,1319058,759252,2543454,1320613,678492,173401.0,333170
Missouri,1998,909441.0,5990499,387035,2873051,2730413,5849648,3083844,1693964,327445.0,553090
Montana,1998,162164.0,1035636,102844,478345,454447,1007146,575114,306419,39258.0,73846
Nebraska,1998,291570.0,2062836,130904,663420,1268512,1966403,1086607,528690,79003.0,213815
Nevada,1998,296621.0,1906860,84699,1193619,628542,2030065,943345,575000,60708.0,340415
New Hampshire,1998,196734.0,1420100,51977,127621,1240502,1428447,808107,378359,44977.0,94615
New Jersey,1998,1238948.0,13786951,477055,5246527,8063369,13973201,7267644,4442457,516387.0,1110805
New Mexico,1998,331673.0,1913783,253889,1383314,276580,1933538,941273,620639,95879.0,247033
New York,1998,2834992.0,27900803,1522836,11033327,15344640,29853891,17266937,7384638,1044857.0,2723181
North Carolina,1998,1230010.0,7516979,520499,4821450,2175030,7688076,4130685,1936511,459818.0,994055
North Dakota,1998,116813.0,731384,85963,284970,360451,715126,366639,184916,54277.0,57202
Ohio,1998,1846585.0,13577343,755883,5539484,7281976,13005301,6688427,4268412,663358.0,1126127
Oklahoma,1998,623681.0,3559980,312708,2053438,1193834,3617938,1811901,1079168,358001.0,328855
Oregon,1998,540226.0,3892091,245664,2205951,1440476,3939722,2067377,1304874,139912.0,319162
Pennsylvania,1998,1791100.0,15671363,856423,5783893,9031047,16432921,8346538,4414783,615097.0,1659536
Rhode Island,1998,152356.0,1255280,67433,503267,684580,1221558,762746,355309,48765.0,24136
South Carolina,1998,648084.0,4109130,328411,2144562,1636157,4241163,2072959,1183620,254897.0,620396
South Dakota,1998,133698.0,793101,77009,281856,434236,781279,403237,214983,34336.0,107579
Tennessee,1998,876693.0,4757639,405078,2268050,2084511,4988208,2829375,1291193,274143.0,494391
Texas,1998,3888061.0,24485263,1830474,10632566,12022223,25723965,12804069,6944751,1209084.0,3561286
Utah,1998,480811.0,2295870,166979,1394158,734733,2326611,1250866,536216,167139.0,307674
Vermont,1998,101413.0,1089658,44750,253591,791317,1064388,461901,240460,25038.0,63485
Virginia,1998,1110815.0,7723744,401716,3046785,4275243,7813707,4109813,2275415,408498.0,796239
Washington,1998,991235.0,6928738,438391,4546140,1944207,7211601,3520841,2098952,311726.0,997000
West Virginia,1998,300737.0,2178936,202626,1351721,624589,2100841,1168793,606055,141099.0,171688
Wisconsin,1998,881552.0,7083655,318567,3918690,2846398,7532110,3946529,2093343,240608.0,948070
Wyoming,1998,96504.0,703280,47201,330204,325875,706801,366104,216102,22636.0,84596
Alabama,1999,737639.0,4471546,393095,2752653,1325798,4622810,2399626,1208081,441314.0,515798
Alaska,1999,133508.0,1243227,187153,740163,315911,1289988,705069,403903,42897.0,119079
Arizona,1999,814157.0,5085826,495708,2259753,2330365,5072471,2272859,1426620,264903.0,871345
Arkansas,1999,451981.0,2684966,232382,2001992,450592,2650808,1424443,767854,177666.0,196954
California,1999,5839207.0,41393435,3599923,23695095,14098417,40834643,21110543,11539910,1954362.0,4738866
Colorado,1999,698402.0,4740254,234939,2004039,2501276,5040224,2401914,1565012,179582.0,628011
Connecticut,1999,522415.0,5460213,208565,2074271,3177377,5269517,3016240,1535406,179789.0,300611
Delaware,1999,112320.0,1004472,61485,646592,296395,960335,529808,291268,42056.0,70433
District of Columbia,1999,71889.0,758072,122970,0,635102,738942,314138,351290,29741.0,43773
Florida,1999,2333567.0,17093036,1266927,8719985,7106124,16156822,7611469,4934846,1131998.0,2092359
Georgia,1999,1401291.0,10380164,672868,5148120,4559176,10106670,5328497,2710664,516763.0,1354872
Hawaii,1999,188069.0,1328572,130547,1166940,31085,1357649,718107,350077,108410.0,181055
Idaho,1999,244623.0,1405250,96761,867752,440737,1409367,763181,408262,57605.0,148467
Illinois,1999,1987427.0,16208970,1089732,5665008,9454230,16783840,8205446,4827070,686866.0,2243726
Indiana,1999,986891.0,8167164,377681,4094272,3695211,8196714,4027481,2251783,370124.0,808948
Iowa,1999,498214.0,3740509,186056,1776000,1778453,3789049,1815795,1054419,245363.0,340182
Kansas,1999,469758.0,3390596,201872,2093218,1095506,3189867,1590684,1031073,204037.0,218426
Kentucky,1999,653628.0,4188131,379440,2584984,1223707,4305678,2236724,1254812,245016.0,477275
Louisiana,1999,764642.0,4641847,532951,2364871,1744025,4702496,2547187,1328631,308590.0,418504
Maine,1999,210245.0,1708133,88888,740050,879195,1699835,1000023,447288,70608.0,86425
Maryland,1999,841671.0,6850334,372016,2686695,3791623,6892276,3660046,2096627,304175.0,608284
Massachusetts,1999,957402.0,8388120,413600,3571654,4402866,8673439,5220083,2332767,271812.0,425998
Michigan,1999,1696275.0,15248112,1018825,9519308,4709979,15837858,7222378,4848897,701589.0,1875573
Minnesota,1999,843802.0,6949149,322148,3873937,2753064,7450965,3622534,1855510,497073.0,965469
Mississippi,1999,502382.0,2532681,339359,1374920,818402,2811852,1377699,730765,181454.0,455812
Missouri,1999,911563.0,6238901,403205,2964597,2871099,6228001,3267404,1780317,354185.0,615448
Montana,1999,159813.0,1049369,115211,466300,467858,1026263,590589,313874,40088.0,69898
Nebraska,1999,290383.0,2212104,150963,805824,1255317,2062226,1127843,541116,85361.0,244788
Nevada,1999,311063.0,2089048,92027,1324474,672547,2298474,1038564,642090,65517.0,448757
New Hampshire,1999,201252.0,1498286,58224,127705,1312357,1491560,859115,401938,46962.0,84168
New Jersey,1999,1257772.0,14977501,534670,5870448,8572383,14927302,7900043,4702475,536974.0,1113055
New Mexico,1999,328715.0,2068337,277349,1509815,281173,2098998,998467,688769,104374.0,276238
New York,1999,2850352.0,30215370,1794853,12605931,15814586,31841870,18323434,7913623,893364.0,3309820
North Carolina,1999,1244926.0,8476795,557142,5558333,2361320,8674393,4434300,2202906,472499.0,1365695
North Dakota,1999,114546.0,770094,92078,287048,390968,756337,380850,192729,53045.0,73822
Ohio,1999,1834379.0,14507056,787687,6041429,7677940,13865260,7115101,4550926,681105.0,1206274
Oklahoma,1999,628522.0,3788901,333408,2158427,1297066,3817848,1934516,1155058,366350.0,320344
Oregon,1999,541436.0,4080653,284390,2299646,1496617,4172435,2184194,1385373,152102.0,328891
Pennsylvania,1999,1787430.0,16361921,919648,5963486,9478787,17113809,8562120,4564230,650115.0,1843095
Rhode Island,1999,153710.0,1358566,77904,568748,711914,1289045,792559,382899,51755.0,28611
South Carolina,1999,652731.0,4365352,342400,2278900,1744052,4610436,2222890,1306221,266738.0,702407
South Dakota,1999,131728.0,825851,84745,295753,445353,838078,425090,228657,33934.0,123444
Tennessee,1999,893842.0,5059587,417870,2369846,2271871,5446555,3008844,1369969,291537.0,669601
Texas,1999,3933017.0,26096023,2161662,10802214,13132147,27883593,13486659,7594544,1306137.0,3970379
Utah,1999,478814.0,2425600,174299,1481463,769838,2448591,1314796,568221,188105.0,312833
Vermont,1999,100348.0,1147600,52814,677199,417587,1129982,508426,261788,24725.0,44146
Virginia,1999,1122858.0,8331336,418359,3512788,4400189,8335873,4360356,2423486,441515.0,875124
Washington,1999,999616.0,7288143,486500,4696554,2105089,7489129,3644065,2163836,330124.0,1053316
West Virginia,1999,296551.0,2190420,188865,1355717,645838,2169432,1216907,637240,146453.0,155822
Wisconsin,1999,878983.0,7415243,323924,4051567,3039752,7875805,4082725,2218556,249719.0,986589
Wyoming,1999,94420.0,780875,57983,408271,314621,739019,390565,237461,24829.0,71423
Alabama,2000,730184.0,4885917,425978,3003814,1456125,5003267,2551713,1319053,395909.0,663903
Alaska,2000,132822.0,1313510,199520,774194,339796,1386904,717725,417637,46782.0,184546
Arizona,2000,814807.0,5479168,534619,2481089,2463460,5397194,2488932,1573568,270671.0,768425
Arkansas,2000,450751.0,2844855,254735,2126099,464021,2683400,1531232,804253,138220.0,146666
California,2000,5941946.0,46628207,4024940,26877920,15725347,45829753,23514388,12429070,2269603.0,5849441
Colorado,2000,707436.0,5073266,266207,2083318,2723741,5444193,2539372,1674044,191201.0,782711
Connecticut,2000,530363.0,5884078,234321,2298931,3350826,5605280,3189123,1634888,180639.0,369278
Delaware,2000,112743.0,1098555,69540,716375,312640,1040480,571982,313410,42630.0,79176
District of Columbia,2000,70762.0,881423,184825,0,696598,858807,318260,429891,23107.0,87549
Florida,2000,2377271.0,17558787,1398757,8804217,7355813,17180954,7751117,5113323,1151140.0,2792662
Georgia,2000,1422941.0,11197766,710741,5406709,5080316,10884510,5701293,2931538,546396.0,1520834
Hawaii,2000,185860.0,1404895,127042,1247256,30597,1363511,765134,373038,109367.0,115972
Idaho,2000,245226.0,1452222,109898,888384,453940,1467977,798629,425211,59735.0,153472
Illinois,2000,2003839.0,17595047,1283052,6344130,9967865,18073190,8738312,5245226,716792.0,2467748
Indiana,2000,987214.0,8489991,426266,4300608,3763109,8518477,4143020,2373445,375026.0,841171
Iowa,2000,497301.0,3822452,217060,1879158,1726234,3974813,1906755,1104075,260900.0,353405
Kansas,2000,469377.0,3518271,221530,2201788,1094953,3327090,1661540,1092448,209338.0,206141
Kentucky,2000,646467.0,4330089,426956,2612740,1290393,4510972,2345581,1284053,260400.0,515109
Louisiana,2000,750755.0,4785331,556240,2361704,1867387,4807097,2601684,1384760,307212.0,414669
Maine,2000,209012.0,1792390,104497,761317,926576,1842276,1053067,474866,77649.0,143112
Maryland,2000,846582.0,7419047,409021,2804218,4205808,7355698,3874590,2189499,300044.0,760810
Massachusetts,2000,958907.0,9464271,480898,3926522,5056851,9466363,5624037,2503616,323913.0,533702
Michigan,2000,1700074.0,15939477,1030238,9942275,4966964,16580526,7709336,5109653,742727.0,1866666
Minnesota,2000,839839.0,7344747,330914,4265438,2748395,7736391,3825732,1942294,531329.0,901829
Mississippi,2000,499362.0,2743284,368830,1504225,870229,2996474,1524728,810371,183118.0,421075
Missouri,2000,913517.0,6675260,437898,3097822,3139540,6708608,3459281,1913563,374060.0,756817
Montana,2000,157381.0,1104935,130928,487115,486892,1051768,613132,327975,41385.0,57419
Nebraska,2000,287566.0,2263952,152143,812998,1298811,2165529,1188826,570910,94639.0,243866
Nevada,2000,325610.0,2252416,110210,1378678,763528,2437438,1114489,695694,69965.0,428541
New Hampshire,2000,203178.0,1586869,54657,865318,666894,1640395,902062,445733,49746.0,130011
New Jersey,2000,1279542.0,15651060,578978,6093162,8978920,15907248,8244717,5041897,568802.0,1320024
New Mexico,2000,324489.0,2191695,296222,1571088,324385,2165031,1048533,727644,101479.0,255735
New York,2000,2861478.0,31906526,1938590,13766358,16201578,33683043,19856637,8377510,1057876.0,3266115
North Carolina,2000,1261586.0,9064700,622184,5897936,2544580,9275837,4854623,2356589,479183.0,1385226
North Dakota,2000,112349.0,812982,96940,303132,412910,802768,402602,204117,55808.0,81274
Ohio,2000,1822566.0,15327834,843432,6425872,8058530,14909952,7497388,4889221,725617.0,1378528
Oklahoma,2000,627032.0,3906833,377776,2162799,1366258,3876871,1928222,1226386,387753.0,286261
Oregon,2000,542739.0,4369400,268568,2457202,1643630,4398318,2288931,1433944,148604.0,391189
Pennsylvania,2000,1782444.0,17090654,1022578,6163912,9904164,17861852,8818088,4887123,681741.0,1851099
Rhode Island,2000,155351.0,1464820,81655,610999,772166,1388454,845667,421472,57496.0,30587
South Carolina,2000,666780.0,4690418,366587,2420494,1903337,4961392,2426139,1418846,278840.0,716110
South Dakota,2000,130279.0,868161,105960,302405,459796,898609,443779,245481,36959.0,144296
Tennessee,2000,907222.0,5338531,462000,2429713,2446818,5805181,3166208,1471174,307022.0,743326
Texas,2000,3965971.0,28918934,2406972,12471856,14040106,31067935,15018072,8307904,1371714.0,4719976
Utah,2000,477835.0,2546642,189502,1507711,849429,2478420,1355794,596620,192296.0,270172
Vermont,2000,99609.0,1211370,65052,711259,435059,1193813,555740,283821,29595.0,39112
Virginia,2000,1132673.0,8911426,491873,3761983,4657570,9154676,4823780,2639328,347530.0,1011384
Washington,2000,1003714.0,7620930,543966,4812796,2264168,7811937,3818756,2285577,350703.0,1048059
West Virginia,2000,290982.0,2243151,210082,1365346,667723,2243563,1271988,672003,156775.0,129872
Wisconsin,2000,877165.0,7848352,354829,4292527,3200996,8183251,4225688,2316000,265155.0,958597
Wyoming,2000,91883.0,787323,66085,408356,312882,769923,417424,242832,24899.0,70579
Alabama,2001,728532.0,4832946,466150,2879636,1487160,5086045,2656393,1374265,426481.0,540284
Alaska,2001,131985.0,1325498,229297,732985,363216,1402839,701053,479510,48312.0,150279
Arizona,2001,834387.0,5916342,580043,2729793,2606506,5858385,2538936,1701945,269157.0,1035457
Arkansas,2001,449693.0,2974588,274406,2135281,564901,2951677,1616883,877225,153300.0,235346
California,2001,6045030.0,53288943,4280358,31374889,17633696,52082540,26641811,14127664,2570224.0,6755895
Colorado,2001,723696.0,5372784,292518,2222723,2857543,5727966,2709184,1844900,209212.0,672080
Connecticut,2001,537521.0,6331569,256685,2389572,3685312,5987680,3360042,1748476,231240.0,385785
Delaware,2001,112055.0,1153831,77483,754926,321422,1175717,613955,349525,45976.0,132922
District of Columbia,2001,68925.0,1042261,114876,0,927385,1026146,412276,394656,35108.0,184106
Florida,2001,2431884.0,18467090,1563902,9120855,7782333,18389394,8412975,5514993,1197780.0,2868679
Georgia,2001,1444937.0,12271962,758799,5945868,5567295,11853800,6336556,3131291,566956.0,1620496
Hawaii,2001,184360.0,1682332,140953,1511318,30061,1363164,732512,412203,105505.0,112944
Idaho,2001,243926.0,1571348,123520,964414,483414,1535485,853733,461819,64896.0,124442
Illinois,2001,2025249.0,18534372,1411096,6637462,10485814,19337580,9317202,5702703,664402.0,2637635
Indiana,2001,987854.0,9124748,444861,4590018,4089869,8991877,4364661,2553481,395908.0,832585
Iowa,2001,495080.0,4068110,239495,1943702,1884913,4211493,1994331,1171278,271596.0,405205
Kansas,2001,468347.0,3681845,238960,2253677,1189208,3491029,1721113,1159966,220701.0,209716
Kentucky,2001,643730.0,4536133,446180,2727410,1362543,4350588,2467964,1372283,254444.0,156395
Louisiana,2001,737223.0,4982369,577645,2425436,1979288,4939894,2654239,1457593,316925.0,409235
Maine,2001,207171.0,1914551,112074,812384,990093,1958646,1118171,513216,79883.0,149225
Maryland,2001,852920.0,7864290,467001,2928704,4468585,7981362,4172982,2366854,369293.0,813068
Massachusetts,2001,965934.0,10613329,490388,4328575,5794366,10572138,6135199,2711995,338708.0,944333
Michigan,2001,1705088.0,16772419,1090642,10480592,5201185,17573761,8136476,5430837,795607.0,2007947
Minnesota,2001,836386.0,7836617,350797,4694722,2791098,8221636,3981906,2112589,569072.0,964810
Mississippi,2001,496513.0,2823151,385896,1519788,917467,2930393,1548979,847817,190656.0,282202
Missouri,2001,911673.0,7081783,464119,3272289,3345375,7100685,3659465,2100767,402233.0,715516
Montana,2001,154700.0,1139959,128783,537866,473310,1129098,638218,354844,44456.0,73732
Nebraska,2001,285331.0,2355374,166068,806280,1383026,2344564,1256013,634842,100439.0,278832
Nevada,2001,339451.0,2381897,118318,1438406,825173,2692840,1171360,734647,76426.0,575873
New Hampshire,2001,204721.0,1757828,76689,884225,796914,1796043,937479,486152,53143.0,166814
New Jersey,2001,1301195.0,16854895,620507,6617681,9616707,17144456,8782754,5499870,610241.0,1466889
New Mexico,2001,319524.0,2373143,327191,1691663,354289,2315182,1096488,761848,114558.0,308741
New York,2001,2856277.0,34373567,1912495,16032781,16428291,38062603,22052316,9100764,1157116.0,4579196
North Carolina,2001,1277013.0,9670620,661215,6065716,2943689,9807815,5187906,2587298,508494.0,1307270
North Dakota,2001,108788.0,818139,102694,301755,413690,814838,419201,218137,58449.0,57760
Ohio,2001,1821546.0,16693845,956899,7088781,8648165,16282257,8001840,5327100,769489.0,1712711
Oklahoma,2001,623110.0,4257128,419762,2394346,1443020,4288405,2119420,1386368,417849.0,322947
Oregon,2001,544756.0,4561948,327582,2565977,1668389,4715944,2435402,1553819,160650.0,419442
Pennsylvania,2001,1771473.0,17792997,1083862,6305118,10404017,18666522,9182658,5142302,708895.0,1869506
Rhode Island,2001,156275.0,1592622,88341,663991,840290,1504125,920848,464571,49573.0,27392
South Carolina,2001,676681.0,5437615,430966,2924025,2082624,5492539,2660503,1545738,297845.0,843817
South Dakota,2001,127986.0,886661,104645,316617,465399,950595,471683,265808,39681.0,143663
Tennessee,2001,895839.0,5560822,494851,2494453,2571518,6165661,3282993,1556508,323329.0,868777
Texas,2001,4021535.0,30868844,2631160,12688089,15549595,33201450,15916451,9050782,1476787.0,4898465
Utah,2001,477380.0,2741771,228659,1588164,924948,2669621,1438459,653354,200475.0,311553
Vermont,2001,97715.0,1300273,60383,732580,507310,1306513,595191,303287,28777.0,62053
Virginia,2001,1143807.0,9493862,531724,3976620,4985518,9862715,5142049,2865861,378979.0,1113113
Washington,2001,1004843.0,7936037,561773,5032514,2341750,8026334,3984476,2330122,367295.0,1028063
West Virginia,2001,285785.0,2321731,244971,1388046,688714,2310098,1306105,699263,159933.0,131916
Wisconsin,2001,875569.0,8363904,398365,4517924,3447615,8574804,4434212,2495299,280656.0,943973
Wyoming,2001,89711.0,804297,69172,403021,332104,787949,426072,254937,24913.0,67913
Alabama,2002,726367.0,5128559,508425,3010983,1609151,5147821,2720735,1414594,418949.0,496146
Alaska,2002,133010.0,1377767,249222,773418,355127,1523327,747223,485124,50601.0,215409
Arizona,2002,859588.0,6192222,619869,2825228,2747125,6018188,2659448,1833852,286945.0,966925
Arkansas,2002,449161.0,3147921,331069,2334551,482301,3087453,1697645,910208,165003.0,239177
California,2002,6136915.0,54727056,5084409,31005317,18637330,56464225,28593157,15568570,2882414.0,6998522
Colorado,2002,741319.0,5849588,338856,2460333,3050399,6237142,2963406,1967267,225545.0,779315
Connecticut,2002,543829.0,6644334,288620,2490036,3865678,6475918,3570517,1847167,241930.0,542302
Delaware,2002,111331.0,1180255,86532,764350,329373,1246284,645895,352551,51060.0,154186
District of Columbia,2002,68449.0,1138126,141514,0,996612,1145684,452905,431693,42192.0,218894
Florida,2002,2500179.0,18541689,1762460,8542871,8236358,19051049,8781232,5589428,1245146.0,2999914
Georgia,2002,1470634.0,13042229,904826,6361710,5775693,12690343,6894589,3341604,616115.0,1659378
Hawaii,2002,184546.0,1889600,170152,1684226,35222,1436637,815123,457784,121615.0,42115
Idaho,2002,244937.0,1625444,138930,988386,498128,1666027,896815,499035,67785.0,167918
Illinois,2002,2047836.0,19084554,1438287,6808150,10838117,20563001,9904454,6025120,683101.0,2897117
Indiana,2002,994348.0,9273957,523331,4446730,4303896,9353054,4586033,2650367,365778.0,875596
Iowa,2002,485932.0,4191217,273857,1951680,1965680,4418238,2109878,1180608,278099.0,459382
Kansas,2002,470204.0,3823261,282329,2281992,1258940,3690815,1958937,1195259,166405.0,231630
Kentucky,2002,654363.0,4621025,486226,2743882,1390917,4541670,2598897,1424273,277021.0,146218
Louisiana,2002,725027.0,5229238,667687,2536111,2025440,5298267,2882613,1536497,329637.0,443002
Maine,2002,205344.0,2041986,141528,853761,1046697,2057022,1180701,548552,78092.0,140092
Maryland,2002,860640.0,8430663,527311,3133775,4769577,8568446,4482809,2469485,392195.0,941083
Massachusetts,2002,959641.0,11217085,600037,4681737,5935311,11507438,6256148,3256542,351743.0,1154305
Michigan,2002,1724961.0,18055855,1254550,11203813,5597492,18881772,8402799,5841256,862090.0,2353031
Minnesota,2002,832265.0,8065042,409915,4771002,2884125,8716123,4113812,2071915,595228.0,1283085
Mississippi,2002,492198.0,3029559,438583,1639832,951144,3026111,1586661,875637,196509.0,299474
Missouri,2002,909918.0,7455539,544538,3347137,3563864,7636924,3901665,2224948,432144.0,828732
Montana,2002,151751.0,1168799,151981,554360,462458,1163960,662030,361751,47877.0,70448
Nebraska,2002,283789.0,2528312,199359,879775,1449178,2562812,1338653,667614,107557.0,365430
Nevada,2002,354869.0,2592064,152525,1582993,856546,2913023,1343669,738868,87437.0,604874
New Hampshire,2002,203072.0,1887115,85440,943592,858083,1956047,1047490,523976,57559.0,186830
New Jersey,2002,1326196.0,18071365,720470,7336383,10014512,18155147,9328162,5983500,611449.0,1406121
New Mexico,2002,317548.0,2537261,352892,1832491,351878,2542682,1195658,814180,123712.0,373224
New York,2002,2846068.0,35748163,2206496,17337735,16203932,39585780,23167459,9379511,1183476.0,4809068
North Carolina,2002,1296156.0,9701231,777970,5929203,2994058,9882399,5339340,2625671,523333.0,1133555
North Dakota,2002,105936.0,846759,111063,303280,432416,838666,435631,224356,58523.0,57468
Ohio,2002,1796603.0,17589983,982401,7811620,8795962,17608944,8477091,5665971,784876.0,2128307
Oklahoma,2002,622115.0,4370415,497834,2345888,1526693,4467944,2193731,1439564,445761.0,341768
Oregon,2002,549604.0,4772603,395295,2662513,1714795,4980466,2475697,1597299,171505.0,557041
Pennsylvania,2002,1766513.0,18586743,1290818,6637673,10658252,20018554,9673879,5448465,757486.0,2252267
Rhode Island,2002,156624.0,1633707,96488,676371,860848,1600087,964169,484397,56173.0,27003
South Carolina,2002,674347.0,5627004,494207,2857497,2275300,5897462,2832106,1620800,315248.0,956612
South Dakota,2002,127129.0,930874,127130,346086,457658,981977,485846,271549,42634.0,149374
Tennessee,2002,897695.0,5785857,550490,2544653,2690714,6363357,3478604,1624709,328546.0,762594
Texas,2002,4112315.0,32802734,2941562,12930564,16930608,35668486,16826484,9580137,1582967.0,5399775
Utah,2002,480526.0,2865058,238599,1680625,945834,2924051,1534954,683525,200572.0,426219
Vermont,2002,96427.0,1387074,68819,766164,552091,1392880,628188,326292,31686.0,65657
Virginia,2002,1162045.0,9914221,624507,4002347,5287367,10209197,5373701,3003921,399357.0,1127185
Washington,2002,1009200.0,8250593,640386,5194962,2415245,8362656,4182265,2430537,382728.0,1037135
West Virginia,2002,282145.0,2413744,258017,1451026,704701,2427316,1346601,710125,163018.0,194544
Wisconsin,2002,875216.0,8624767,450159,4682300,3492308,8863966,4642886,2601068,325160.0,863118
Wyoming,2002,87897.0,908719,75498,443525,389696,868607,463839,272836,27488.0,92550
Alabama,2003,727900.0,5196054,567704,2966981,1661369,5298932,2817111,1521462,424662.0,432279
Alaska,2003,133303.0,1425948,259423,813371,353154,1610289,763525,514052,55715.0,247005
Arizona,2003,875111.0,6529894,740579,2912629,2876686,6210287,2810907,1964229,303924.0,864642
Arkansas,2003,450158.0,3241275,379947,2394336,466992,3242799,1768713,972598,170767.0,247245
California,2003,6226552.0,59815855,5795655,33617766,20402434,59749885,29561563,17030335,2995767.0,7341541
Colorado,2003,751049.0,6297242,400219,2715219,3181804,6685029,3168745,2149761,236480.0,821129
Connecticut,2003,548466.0,6959891,351001,2481901,4126989,6751815,3721466,1951609,252325.0,539870
Delaware,2003,111282.0,1242436,91986,794472,355978,1317447,673997,367660,53399.0,171247
District of Columbia,2003,67522.0,1114061,152599,0,961462,1105963,473414,406078,32193.0,194278
Florida,2003,2536699.0,19549835,1956803,8689141,8903891,20180142,9622598,5938231,1225274.0,2924134
Georgia,2003,1495819.0,13524807,1051973,6551699,5921135,13516783,7352918,3615906,649880.0,1705482
Hawaii,2003,183829.0,2078877,170377,1873318,35182,1602392,888473,521929,128941.0,63049
Idaho,2003,248515.0,1685984,162530,994022,529432,1726941,924434,510284,69672.0,185850
Illinois,2003,2062664.0,19627346,1618724,6792637,11215985,21278177,10409933,6336325,706758.0,2727980
Indiana,2003,999713.0,8246076,582940,4569923,3093213,9777720,4785880,2848989,377679.0,859389
Iowa,2003,482210.0,4374803,304688,1974708,2095407,4517990,2157225,1208401,284796.0,459042
Kansas,2003,470264.0,4068800,311152,2397661,1359987,3818740,2068389,1196089,167265.0,235653
Kentucky,2003,660782.0,4872025,503734,2904331,1463960,4700494,2688476,1473773,282473.0,127011
Louisiana,2003,723252.0,5478321,739078,2638985,2100258,5515322,3009591,1645457,337709.0,409705
Maine,2003,203848.0,2162605,163516,874208,1124881,2154117,1255095,569146,79491.0,137716
Maryland,2003,866743.0,8700979,571108,3317403,4812468,8732518,4738579,2630831,385935.0,674852
Massachusetts,2003,967200.0,11591832,712487,4757632,6121713,11382398,6521028,3444135,356389.0,424368
Michigan,2003,1764327.0,18488359,1357006,11227903,5903450,19680370,8725075,6144707,844762.0,2453532
Minnesota,2003,825674.0,8484497,463746,6064474,1956277,8938770,4318736,2130933,613899.0,1204124
Mississippi,2003,491623.0,3260771,482904,1754451,1023416,3205193,1702193,965269,203597.0,267397
Missouri,2003,921625.0,7622601,559732,3430809,3632060,7905481,4087984,2334521,448752.0,767068
Montana,2003,149801.0,1205602,171819,553269,480514,1214879,687104,384824,48570.0,75983
Nebraska,2003,283934.0,2600831,225861,878715,1496255,2623966,1414919,683210,112145.0,329746
Nevada,2003,369498.0,2778564,191839,1663026,923699,3009028,1406660,767835,88985.0,576610
